                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 1.0803,                0.82667,                 1.2236,                0.70889,                0.68607,                0.71636,                0.38657,                 1.8245,                 1.2813,                 1.7545,               0.006304,               0.006304,               0.006304
                    114,                 1.0774,                0.82338,                 1.2275,                0.69687,                0.71611,                0.72516,                0.39944,                 1.7573,                 1.2247,                 1.7294,               0.006271,               0.006271,               0.006271
                    115,                 1.0742,                0.82193,                 1.2197,                0.69423,                 0.7107,                0.71534,                0.38497,                 1.8044,                 1.2714,                  1.792,               0.006238,               0.006238,               0.006238
                    116,                 1.0724,                0.82071,                 1.2111,                0.66792,                0.68912,                0.70869,                0.39439,                  1.792,                 1.2528,                 1.7507,               0.006205,               0.006205,               0.006205
                    117,                 1.0787,                0.82281,                  1.214,                0.69297,                0.71295,                0.71308,                0.40094,                 1.7713,                 1.2141,                 1.7197,               0.006172,               0.006172,               0.006172
                    118,                  1.069,                0.80696,                  1.213,                0.73242,                 0.7022,                0.73349,                0.40703,                 1.7855,                 1.2204,                 1.7486,               0.006139,               0.006139,               0.006139
                    119,                 1.0638,                0.79945,                 1.2025,                0.68214,                0.70296,                 0.7171,                0.39399,                 1.8136,                 1.2345,                 1.7601,               0.006106,               0.006106,               0.006106
                    120,                 1.0694,                0.79612,                 1.2091,                 0.6953,                0.71821,                0.72539,                0.40227,                 1.8048,                  1.205,                 1.7659,               0.006073,               0.006073,               0.006073
                    121,                 1.0627,                0.80761,                 1.2103,                0.73055,                0.68323,                0.72441,                 0.3949,                 1.8556,                 1.2373,                 1.7783,                0.00604,                0.00604,                0.00604
                    122,                 1.0516,                 0.7981,                 1.2011,                0.68793,                0.70999,                0.71173,                0.38818,                 1.8453,                 1.2264,                 1.8019,               0.006007,               0.006007,               0.006007
                    123,                  1.058,                0.78947,                 1.2053,                0.71627,                0.68998,                0.72362,                0.39842,                 1.8386,                 1.1938,                 1.7959,               0.005974,               0.005974,               0.005974
                    124,                 1.0423,                0.78887,                 1.1972,                0.71638,                0.69838,                0.72424,                0.38911,                 1.8661,                 1.1814,                 1.8161,               0.005941,               0.005941,               0.005941
                    125,                 1.0485,                 0.7717,                 1.1971,                 0.6954,                0.72915,                0.72152,                0.39457,                 1.8196,                 1.1932,                  1.757,               0.005908,               0.005908,               0.005908
                    126,                 1.0396,                0.78151,                 1.1899,                0.73246,                 0.6808,                0.71509,                0.40156,                 1.7923,                 1.1852,                  1.759,               0.005875,               0.005875,               0.005875
                    127,                 1.0417,                 0.7807,                 1.1908,                0.69059,                0.70584,                0.71551,                0.39692,                 1.8272,                 1.1769,                 1.8162,               0.005842,               0.005842,               0.005842
                    128,                  1.034,                0.76771,                  1.187,                0.71358,                0.68254,                0.71972,                0.40087,                 1.8047,                 1.2093,                 1.7801,               0.005809,               0.005809,               0.005809
                    129,                 1.0423,                0.78523,                 1.1917,                0.70508,                0.71802,                0.72877,                0.40038,                 1.8147,                 1.2027,                 1.7817,               0.005776,               0.005776,               0.005776
                    130,                  1.029,                0.77137,                 1.1862,                0.72291,                0.70229,                0.73019,                 0.3984,                 1.8209,                 1.1937,                 1.7759,               0.005743,               0.005743,               0.005743
                    131,                 1.0241,                0.76562,                 1.1856,                0.67149,                0.73462,                 0.7201,                0.39479,                 1.8537,                  1.242,                 1.8043,                0.00571,                0.00571,                0.00571
                    132,                 1.0179,                0.75856,                 1.1761,                0.71956,                0.71434,                0.72666,                0.40018,                 1.8031,                 1.2037,                 1.7744,               0.005677,               0.005677,               0.005677
                    133,                 1.0212,                0.76298,                 1.1804,                0.69775,                0.72804,                0.72075,                0.39269,                 1.8489,                 1.2007,                 1.8211,               0.005644,               0.005644,               0.005644
                    134,                 1.0285,                0.76038,                 1.1742,                0.71822,                0.69001,                0.72555,                0.39573,                 1.8315,                 1.1919,                 1.7846,               0.005611,               0.005611,               0.005611
                    135,                  1.023,                0.76198,                 1.1758,                0.72228,                 0.6797,                0.72042,                0.40547,                 1.8061,                 1.2023,                 1.7789,               0.005578,               0.005578,               0.005578
                    136,                 1.0151,                0.75658,                 1.1752,                0.70857,                0.70889,                0.71663,                0.39724,                 1.8394,                 1.1746,                 1.7828,               0.005545,               0.005545,               0.005545
                    137,                 1.0201,                0.75695,                 1.1809,                 0.7002,                0.71015,                0.72141,                0.40236,                 1.8504,                 1.2022,                 1.8015,               0.005512,               0.005512,               0.005512
                    138,                 1.0096,                0.74688,                 1.1714,                0.70286,                0.73129,                0.72696,                0.39918,                 1.8081,                  1.213,                 1.7903,               0.005479,               0.005479,               0.005479
                    139,                 1.0029,                0.73568,                 1.1648,                0.69498,                0.72316,                0.71136,                0.40119,                  1.824,                 1.2026,                 1.8046,               0.005446,               0.005446,               0.005446
                    140,                 1.0052,                0.74415,                 1.1674,                0.68786,                 0.7195,                0.71116,                0.39698,                 1.7929,                 1.2096,                 1.7783,               0.005413,               0.005413,               0.005413
                    141,                 1.0066,                0.73997,                 1.1679,                0.68434,                0.71497,                0.72034,                 0.3984,                 1.8116,                 1.1826,                 1.7913,                0.00538,                0.00538,                0.00538
